review_id,text,label,label_id
376a2ab1-349c-46fa-a0a4-33906f4982fa,aneh lg sy ktp jakarta bisa aktip kis bpjs sy pas pindah ktp bekasi tau2 gak di tanggung sy udah ngajuin dari bln november 2024 di lotte mart srh nunggu 2 bln masa ampe skrg blom juga aktif udh mao 4 bln ada2 aja jd susah mao berobat,negatif,0
16568340-533a-43ea-9e63-4b259aea62ba,kenapa untuk pengambilan antrean gagal terus,negatif,0
ce7c8668-11a4-4c67-b67a-6f72bfeb9384,kirain ada aplikasi bikin gmpang tauny malah makin ribet doang verif telpon nunggu sejam aja kaga ngaruh,negatif,0
5384a7b3-db95-43e7-a607-529fa5ec1cc9,sebelum update di aplikasi tertera 5 anggota keluarga dan setelah update malah tinggal saya sendiri kan membingungkan yang pasti untuk iuram bulanannya yang biasanya saya bayarkan langsung utk semua anggota dan kenyataannya sekarang harus masing masing,netral,1
fd91382f-d847-4ef6-9405-d71ff4780a89,verifikasi wajah selalu gagal ga bisa ganti pakek verifikasi sandi kah merubah faskes aja susah banget,negatif,0
69727f27-7562-4851-b30a-50a6a115cdd5,sampah bgt habis lebaran bukannya bagus makin gak jelas apk ini login sampe coba di 2 perangkat android dan ios gak bisa login semua tombol login gak fungsi,negatif,0
3f85f5b4-50b6-41a0-b024-3334dd4e5860,mantap dimudahkan,positif,2
f73fd293-6786-4b3b-97c1-241d70e586f5,tolong di informasikan dokter2 gigi yg kerja sama tidak berhenti kerja sama dgn bpjs,netral,1
d1e2d6c0-b8c9-4537-853c-e47d03952159,awal daftar kontrol tgl 20 05 2025 ke poli penyakit dalam lancar pas mau daftar lagi untuk poli jantung untuk tgl 26 tidak bisa selalu stuck di daftar antrian poli penyakiit dalam harusnya gimana min,netral,1
4fd27c11-a85c-40c8-9c4d-8ebce34e6cc8,gw mau verifikasi nomor ribet bener harus ada pulsa aje padahal ke wa kan bisa dasar menkes tua bangka benerin sistem nya jangan dulu ngurusin mbg,negatif,0
751a4cd1-126c-4eb5-ab81-4ffda12311b3,mantaaappp,netral,1
cc10ef4a-ca21-43ae-b49b-9cd7ddb6f891,tidak bisa ganti faskes padahal satu provinsi gps aktif error mulu pas proses ganti faskes,negatif,0
c1e272c8-e4ea-445b-8f44-87cd11f5f82b,aplikasi ga guna ruwet,netral,1
6d17b814-6e7c-4e4c-9e6f-93085c9ab359,sangat membantu utk keluarga saya yg sering keluar kota dalam waktu 3bln lebih,positif,2
450a88b4-2243-497c-ba5f-661e8e08b985,klo sudah lupa pasword semuanya salah bahkan email pun salah kita daftar ulang katanya sudah terdaftar kita login bahkan emailpun tidak terdaftar gimana nih solusinya,negatif,0
87105f00-a3c4-440b-80b1-b894c1a97f24,emosi bgt buka aplikasi mobile jkn di klik lupa password terus aja permintaan anda belum di proses,netral,1
81ee5556-d9a3-4893-9ea5-c661a4df4675,layanan ini memudahkan orang kecil,positif,2
12f82604-adea-48fd-93d5-2f8268256e0a,emosi bener saya cuma kode otp dari nomer hp ga dapet kode ny padahal nomer ny sudah benar sampe mata melotot jg ttp ga dikirim itu kode pdhl kode otp dari email ga sampe semenit dapet mempersulit bener ini aplikasi tolong ini admin bikin aplikasi yg bener ngapa,negatif,0
3bbf9dae-20b0-4a2b-abec-53a3e23a78f2,kadang error,negatif,0
edb708dc-4319-4880-ba7a-f3a83c4315c5,apk yg sangat memuaskan,positif,2
84aff588-85a4-42e0-b69f-5ade35409c14,kenapa ya saat mau login ke akun bpjs di suruh daftar autodebit tpi setelah sukses di daftar ngak bisa masuk layarnya jdi hitam aja,negatif,0
4c782bf4-33e1-47b8-a2c5-ef25fb86e5ce,mau login aja susah bgt,negatif,0
985e3527-353d-4e04-8115-9381c75e34d8,ga jelas tolol hobby kali keluar sendiri di kira gampang ingat kata sandi mobile jkn orang mau berobat g bisa weh gue bayar bpjs jadi jangan suka keluar sendiri ingat gue bayar bpjs,negatif,0
c986f8ba-ee10-4032-bd68-40a523ab12d9,sangat mmbantu lah pokok xa,positif,2
c35cf893-fcfd-4991-8d08-fb4fcee5127e,oke banget,positif,2
0ad5ffb8-2fdc-459c-a87f-8c2d30aa6089,busuk aplikasi nya tbtb logout dari aplikasi giliran mau di pake buat periksa tidak bisa udah login pun juga ttepan ga bisa malah di suruh login lagi udah coba ber kali sampe 2 hari ttep ga bisa,negatif,0
41057051-9d7b-42b4-a2ce-2d9971305dcf,kenapa harus ada captcha untuk login menyusahkan saja captcha selalu putar2 loading untuk login,negatif,0
b7dc4b8f-4117-4ad9-9914-0cb932dd2789,kenapa akhir akhir ini aplikasi jkn sering eror keluar sendiri saat mau masuk gak bisa di klik mana saya butuh buat anak saya berobat,negatif,0
6019085e-c7c5-49cf-a669-503775bb7060,masih dalm pejelasan n moga bisa dalam mengnontrol app nya salam sehat kita,negatif,0
a1f52ceb-1b52-4176-b237-0550dc0a2db1,verivikasi muka napa susah bet padahal mau dapet online buat kontrol malah susah,negatif,0
3670969f-84b2-4132-b834-a38b2b8e6c31,pelayanan baik memuaskan,positif,2
ec7fa197-f9ec-4288-8bff-9bca07bba838,kode otp ga di krim,netral,1
e7c8b668-987c-490b-8bea-c926bec656c8,apk sampah kode verifikasi otp aja gk ada masuk masuk gk guna ini apk padahal nomer benar,negatif,0
eaff43a9-0ae9-44e2-a402-7eea1415a6de,lupa password nya udah coba salah 3 kali mau ganti password pas minta nomor verifikasi via sms susah sekali nggak dapat nomornya via email belum terdaftar,negatif,0
5113bd4a-1092-49e5-af62-dce473d183a9,aplikasi sangat menbantu maka dari sya rating bintang 4,netral,1
2f52a1ec-5618-4363-a056-f19ecc14916c,kenapa tiba aplikasi tidak dapat diakses apakah lagi error,negatif,0
428ebc83-6263-490b-b740-b7177e041a8c,susah banget daftar pake aplikasi ini,negatif,0
c3be3f99-d217-42fb-9d38-870aeb1f0184,kenapa setelah update tidak bisa di screen shoot nomor antriannya mohon di perbaiki,netral,1
6d3945a0-53e5-48c2-9c97-a5df9fa0937d,sering logout sendiri,netral,1
7e573cb1-8ade-4c1f-8def-1d25976a17f5,sistemnya jelek ini dari servernya apa gimana otp nomor ga masuk mempersulit orang mau berobat harus pake ini sedangkan apk ini sistemnya jelek orang udah sakit malah di persulit coba benerin dulu kalo maksa pake ni apk,negatif,0
9fe7bff2-82a7-44b0-9285-d23df6e7f9ef,capcha gak mau keluar loading terus padahal jaringan gak ada masalah,negatif,0
d2342b5c-1d83-4d81-ab26-acb48091f2fe,lain mudah ribet nu aya mh,netral,1
cc89ab87-d651-4d03-8515-34d6f033b678,aplikasi log out sendiri waktu log in susahnya minta ampun,negatif,0
acf0a545-5d59-4982-bf9c-9b5e9f4c6507,dengan apk jkn mobil bisa mempermudah segala proses kesehatan,positif,2
144aa42e-0cf3-47f3-bd32-fe0144f45257,masuk login susah ada bacaan anda sedang login pada device yg berbeda sesi login anda pada device ini habis silakan coba lagi sebumnya bisa pas minta ganti pin udh di perbarui malah muncul notif sepeeti diatas,negatif,0
57d31d09-5c22-428b-b0fc-54c01844bc74,kalo agak lama dikit gak dibuka selalu disuruh login ulang udh login ulang pass selalu salah dan login pake nomer dan sms tp sms sampe lama gak masuk masuk repot bgt udh daftar biometrik tp pas keluar tidak terdaftar jd harus login lagii,negatif,0
596f8639-ecab-4506-ba57-036ccc920ef6,saya heran kenapa rujukan online saya suka menghilang ya padahal masa berlakunya masih 2 bulan lagi dan ini terjadi bukan hanya sekali tapi berkali saya penderita autoimune tiap 2 minggu sekali harus kontrol dan pihak rs mengharuskan untuk reservasi online jadi bagaimana saya mau reservasi online kalau rujukan saya sering menghilang saya capek bolak balik puskesmas rs karena masalah rujukan online ini,negatif,0
300f3dd1-428c-4a96-a374-34333ad23852,login terus,negatif,0
846787b7-02be-4cb9-a536-b85b8962bc9d,masa ga bisa masuk lebih dari 3 akun masa harus punya hp banyak buat gunain online satu kk,negatif,0
90577d9f-6f1d-4a74-b6a6-dfc922088dea,muter muter mulu offline mulu gangguannya bisa dihitung berapa banyak,negatif,0
f434d1d7-1307-4467-91aa-5484c0c34a7a,maaf saya revisi komen sya sblmnya alhamdulillaah bru minggu kmren sya ke rs lag trnya rs sudah meberlakukan ambil antrian di app jkn dan alhamdulillaah skrg nomer antrian sesuai dg antrian di app jkn terimaksih jkn mmpermudah kami dlm antrian untk mendapatkn pelyanan rs yg baik shg kami dpt memperkirakan estimasi jm brp kita mndptkn pelayann di rs,positif,2
3b942979-d566-4a67-892c-b48cfb548f48,lemot banget,negatif,0
3fc2e4e2-2880-46bd-b37f-0fff8812a678,gak bisa login bos gak jelas,negatif,0
5e6833e9-00c7-41a3-b52f-8a3b3318e847,aplikasinya tidak bisa di buka,negatif,0
ed3db20d-047f-407b-82e7-5964833f79d0,mau masuknya susah tolong diperbaiki lagi lagi minta kode otp nga ada yang muncul,negatif,0
ea677c36-20d4-4542-aa49-7c891d2c974d,tolong aplikasi nya jangan bikin ribet data saya masih terpisah dengan anak istri saya aplikasi nya punya masing belom bisa jadi satu kartu keluarga,negatif,0
8517be94-a8b9-4ec0-bdbb-5953af6cbeb4,buat verifikasi wajah udah ikutin malah gak bisa,negatif,0
536cd187-4cef-42d1-897e-83d26dc44dca,apk membingungkan ketika mau masuk suruh daftar ketika masuk uda daftar notifnya,netral,1
e54e284b-22f9-44ed-8034-2a25f29d74b3,jelek bgt si ni apk nya update mulu,negatif,0
692d4740-cda3-4e80-a09e-962f3fbea404,kenapa untuk memunculkan kode verifikasi sangat dipersulit mohon untuk diperbaiki kembali,negatif,0
3268c561-2073-403d-bc06-326c7a4319ee,tidak bisa masuk akun katanya pasword salah padahal sudah benar sesuai yang terdaftar,negatif,0
92fa0eb0-46e7-4c59-ad2b-b81cbf6d8d6c,kenapa tidak muncul pilihan verifikasi nya,negatif,0
9daeb3d8-3347-473c-bf7d-48ac897a966d,no rujukan berubah sendiri lalu kuota antrian penuh terus padahal masih ada sisa gimna ya min,netral,1
cffd44a9-35a4-4b83-a397-a70768b19b2f,susah mau daftar error terus cari tim it nya yang pro deh biar lancar aplikasi nya,negatif,0
62ff122e-49c6-4baa-a11c-06cc56526b0e,kadang ngak bisa di buka mohon di bantu,negatif,0
c38478b9-0ae1-4f92-84db-7828913b9218,bagus cuma kadang agak lemot,netral,1
b236a986-bc0b-455f-b0ca-59d9f924e8b9,aplikasinya eror aja kenapa sih menghambat pengguna,negatif,0
bb53d104-00c5-4197-849f-d3363347b542,suka erorr ntar uda ke pengaduan lama jg di prosesnya giliran datang ke kantor malah suruh via aplikasi,negatif,0
85d60e12-2b9b-4aba-9c83-de36f56557f3,mau minta kode otp aja ga dikasih kasih sistem apa ini g0b tunggu lama tapi ga dikirim nomor udh terdaftar tapi ga ada terkirim sistem bodoh,negatif,0
a77fa10b-9318-422c-bab6-ec62f90b321b,untuk log in susah banget gmn ini,negatif,0
489c315c-0c1c-4db6-aa23-3b985df93868,aplikasinya terlalu simpel bagi orang gila,netral,1
6975df6e-af96-45a6-8246-229dc6d7a1c6,aplikasi sngat tidak berguna saya minta d kirim kode otp krna lupa kata sandi tidak d kirim2 dasar membagongkan,netral,1
8ca75abd-4849-4054-bf7d-16d9e950e8d9,kenapa ya di setiap faskes dokternya kalo make bpjs ngasal bgt periksanya wkwk padahl bpjs saya juga berbayar,positif,2
cb578942-f426-4c06-95a7-2ed6bf9bd8d4,maksimal kan pelayanan,netral,1
45a3ff44-b2d8-45d6-b391-8f71105d3a94,apk cacat bisa check up kalau apk eror,negatif,0
f3bb989a-4fde-4947-aa1d-5ca445219e96,lg urgent tiba tiba mobile jkn terkunci semua padahal nik sudah benar pasword benar tp slalu gk bisa login tolong di permudah,negatif,0
fb327092-ef1f-44d4-9766-39f791d69e0d,memusingkan,netral,1
458301e6-6d13-4a6a-9275-320c3e84d8bb,verifikasi wajah gagal terus karena aplikasi hank kemudian aplikasi close sebelum berakhirnya verifikasi wajah begitu seterus nya,negatif,0
1c919be1-0cbd-48d6-acaf-5e66e837373f,finpay pada aplikasi jkn tidak dapat di akses dijalankan,netral,1
bc21eb6d-5681-40b1-bf5d-59f7ed5acca2,otp no telp gk mau muncul gk jelaas mau berobat aja di persulit hadehh,negatif,0
536b7d3a-7a3e-4a98-9567-f1254892885e,masih harus di evaluasi,netral,1
93bae90c-9126-4a83-8cd2-7b54db872938,susah dapat verifikasi dari bank utk mendapatkan sms supaya bisa beralih ke mandiri,negatif,0
2b46a2bb-ba5b-4f7e-a66e-2d470fe2e247,otp sms memang agak susah tapi kalau kalau ke no wa dan hari kerja lumayan cepat,netral,1
c7566a68-5336-45fc-a853-3e1dbae7e164,biasa aja,netral,1
dfd38f7c-38ef-440f-b6ca-1f65734e0c8a,halo kenapa pada saat menambah peserta selalu terjadi eror dan offline padahal sinyal bagus tolong untuk di perbaiki,netral,1
e65c4c28-2cdd-4fa7-9cd9-26338ca32da8,ini apk apaan sudah seminggu daftarpakek 3 nomer gak bisa daftar kode verifikasi gak pernah di dapat yang verifikasi email sudah tapi untuk verifikasi nomer telpon gak bisa sama sekali per 1 sim card isinya pulsa 10k pulsa sampe habis kode otp gak masuk2,negatif,0
b2b59ff6-3ad4-4a2a-b7e7-c7452bd48c0b,knp aplikasi jkn gak bisa di buka ngebleng hitam gmn nie,negatif,0
c458ac51-1ce9-4c3c-b520-a55ba3ca90d2,aneh aplikasi sekelas pemerintah jelek amat gabisa login nik atau pw salah padahal gw masukin nya bener terus mau di ganti sandi nya lewat sms ga bisa email sama pdahal udah di daftarkan keduanya,negatif,0
c6e9883b-f453-453e-a7b8-3989fdb48c23,kode otp susah,negatif,0
7f3f76e3-c56c-406f-b47d-df0fd8208720,busett aga laen,netral,1
